"week.number","start.date","end.date","Bukit.Batok","Choa.Chu.Kang","Tampines","Yishun","Ang.Mo.Kio","Bedok","Bishan","Bukit.Merah","Bukit.Panjang","Bukit.Timah","Changi","Clementi","Geylang","Hougang","Jurong.East","Jurong.West","Kallang","Mandai","Marine.Parade","Newton","Novena","Outram","Pasir.Ris","Punggol","Queenstown","River.Valley","Rochor","Sembawang","Sengkang","Serangoon","Sungei.Kadut","Tanglin","Toa.Payoh","Woodlands"
69,"19/4/2015","25/4/2015",1,3,7,4,1,10,1,0,1,1,0,1,7,2,3,4,0,0,1,0,1,0,2,1,1,1,0,4,3,4,0,0,0,3
70,"26/4/2015","2/5/2015",0,0,5,4,0,10,4,1,3,0,0,1,9,3,1,9,0,0,0,1,0,0,4,2,2,0,1,5,2,2,0,1,0,6
71,"3/5/2015","9/5/2015",0,1,6,4,2,10,3,6,1,0,0,0,8,5,3,8,4,0,0,0,0,1,7,2,1,0,1,3,3,7,0,0,3,4
72,"10/5/2015","16/5/2015",0,1,10,6,2,6,5,2,0,2,0,2,8,12,3,2,3,0,2,0,4,1,2,3,2,0,1,1,2,8,0,0,4,1
73,"17/5/2015","23/5/2015",0,1,4,6,1,14,12,0,0,0,0,1,12,7,0,1,1,0,0,0,0,0,3,0,0,0,1,4,1,9,0,4,7,1
74,"24/5/2015","30/5/2015",0,0,7,6,5,11,14,2,4,0,0,2,8,6,3,8,2,0,1,0,2,0,1,3,1,0,0,1,7,0,0,2,3,3
75,"31/5/2015","6/6/2015",1,1,4,6,4,11,22,2,1,3,0,0,13,6,5,10,0,0,2,0,4,0,7,6,1,0,0,1,4,6,0,1,3,5
76,"7/6/2015","13/6/2015",0,1,10,6,5,9,24,2,4,0,0,1,14,3,2,6,3,0,6,0,3,0,2,1,5,0,1,7,7,2,0,0,0,14
77,"14/6/2015","20/6/2015",3,1,11,5,6,14,30,2,2,4,0,2,13,11,2,5,1,0,4,0,2,1,6,6,6,0,1,3,2,3,0,0,6,14
78,"21/6/2015","27/6/2015",0,2,8,12,2,20,32,7,3,3,0,2,11,7,7,8,0,0,3,0,1,1,6,2,1,0,1,8,9,7,0,1,5,8
79,"28/6/2015","4/7/2015",1,1,12,15,7,21,47,2,0,4,0,0,9,9,5,4,3,0,3,0,1,0,2,5,0,1,3,11,6,4,0,2,5,23
80,"5/7/2015","11/7/2015",1,1,7,11,12,17,36,2,2,2,0,1,10,9,0,9,4,0,4,0,1,1,11,3,4,1,2,11,4,8,0,0,6,14
81,"12/7/2015","18/7/2015",0,1,14,14,9,20,51,7,2,1,0,4,11,10,3,4,1,0,9,0,2,1,6,9,3,0,0,8,6,7,0,0,2,13
82,"19/7/2015","25/7/2015",0,1,4,4,8,21,44,8,4,2,0,2,6,22,3,10,4,0,3,0,3,0,6,2,0,1,1,6,4,6,0,0,6,9
83,"26/7/2015","1/8/2015",1,2,9,11,5,27,18,2,7,3,0,5,7,2,0,8,4,1,5,0,1,0,8,5,2,0,3,5,0,3,0,2,4,7
